date,regime_label,ae_error,llm_macro,llm_sentiment,llm_risk,v1_w_n_broad,v1_w_n_sat,v1_w_n_fi,v1_w_n_safe,v1_w_n_cash,v1_w_e_broad,v1_w_e_sat,v1_w_e_fi,v1_w_e_safe,v1_w_e_cash,v2_w_n_broad,v2_w_n_sat,v2_w_n_fi,v2_w_n_safe,v2_w_n_cash,v2_w_e_broad,v2_w_e_sat,v2_w_e_fi,v2_w_e_safe,v2_w_e_cash,v1_r_n,v1_r_e,v1_edge,v2_r_n,v2_r_e,v2_edge
2023-12-22,bull_normal,12.588353157043455,62.5,61.7,46.8,0.2,0.2,0.2,0.2,0.2,0.20368838832733172,0.1412507792486313,0.27418165486952123,0.20066658866632175,0.180212588888194,0.2,0.2,0.2,0.2,0.2,0.14869700925734927,0.1497356547003634,0.2515673360422874,0.3,0.15,0.00022606185142761965,0.0008570009027799709,0.0006309390513523513,0.00022606185142761965,0.0013739449820225186,0.001147883130594899
2023-12-29,bull_normal,14.713910102844238,63.95,64.15,45.95,0.2,0.2,0.2,0.2,0.2,0.20608553808415694,0.1507180256131449,0.26835278936718754,0.19820634741945817,0.1766372995160526,0.2,0.2,0.2,0.2,0.2,0.1728564845250232,0.21547699196339543,0.16166652351158134,0.3,0.15,0.010320328015096589,0.011134034446325273,0.0008137064312286838,0.010320328015096589,0.00945047517971951,-0.0008698528353770791
2024-01-05,bull_normal,14.005855560302734,65.31,65.51,44.8,0.2,0.2,0.2,0.2,0.2,0.20367126563249263,0.16792447279571873,0.26150631670692753,0.2014142068032135,0.1654837380616476,0.2,0.2,0.2,0.2,0.2,0.15233110322983034,0.1750574089180844,0.22261148785208526,0.3,0.15,-0.008248687414423675,-0.006954997958342235,0.0012936894560814406,-0.008248687414423675,-0.006503995852410502,0.0017446915620131734
2024-01-12,event_stress,26.170467376708984,64.8,60.0,54.25,0.1,0.05,0.5,0.2,0.15,0.05,0.0,0.45,0.35,0.15,0.1,0.05,0.5,0.2,0.15,0.09309659829173167,0.0971047907634803,0.3,0.38383600663907724,0.1259626043057108,-0.007280294519724049,-0.007203344431136371,7.69500885876781e-05,-0.007280294519724049,-0.006992978841120514,0.00028731567860353514
2024-01-19,event_stress,28.35306930541992,65.5,61.2,53.39999999999999,0.1,0.05,0.5,0.2,0.15,0.05,0.0,0.45,0.35,0.15,0.1,0.05,0.5,0.2,0.15,0.09071458740211157,0.1,0.32108808738619354,0.34224920821613486,0.14594811699556018,-0.0009155266739251355,-0.0010433850706786472,-0.00012785839675351167,-0.0009155266739251355,-0.0017356196152222719,-0.0008200929412971364
2024-01-26,bull_normal,13.315013885498049,60.5,63.0,52.5,0.2,0.2,0.2,0.2,0.2,0.18714883495950865,0.14078007663672462,0.2836306859889436,0.21934777848780512,0.16909262392701804,0.2,0.2,0.2,0.2,0.2,0.054068031153958605,0.08650325305514825,0.4399421183539472,0.26948659743694603,0.15,0.0033897027710922956,0.0030511543475731278,-0.0003385484235191678,0.0033897027710922956,0.0015559459997730777,-0.0018337567713192179
2024-02-02,event_stress,20.48769187927246,54.0,59.3,50.25,0.1,0.05,0.5,0.2,0.15,0.05,0.0,0.45,0.35,0.15,0.1,0.05,0.5,0.2,0.15,0.15298619245591458,0.0,0.29999999999999993,0.3525375588530287,0.19447624869105687,0.0020716283133026423,0.004719767756605285,0.0026481394433026427,0.0020716283133026423,0.001339396270780979,-0.0007322320425216633
2024-02-09,event_stress,21.401721954345703,66.5,68.1,44.25,0.1,0.05,0.5,0.2,0.15,0.05,0.0,0.45,0.35,0.15,0.1,0.05,0.5,0.2,0.15,0.1320422580668598,0.1,0.3,0.4,0.06795774193314029,0.0029071370258696725,-0.00029942564608699204,-0.0032065626719566644,0.0029071370258696725,0.004871327179004661,0.0019641901531349884
2024-02-16,event_stress,21.401721954345703,53.0,55.0,40.75,0.1,0.05,0.5,0.2,0.15,0.05,0.0,0.45,0.35,0.15,0.1,0.05,0.5,0.2,0.15,0.1320422580668598,0.1,0.3,0.4,0.06795774193314029,0.0029071370258696725,-0.00029942564608699204,-0.0032065626719566644,0.0029071370258696725,0.004871327179004661,0.0019641901531349884
2024-02-23,event_stress,21.375995635986328,65.3,61.3,47.5,0.1,0.05,0.5,0.2,0.15,0.05,0.0,0.45,0.35,0.15,0.1,0.05,0.5,0.2,0.15,0.141568556691971,0.09085977704444217,0.3057937691536355,0.2776540694289947,0.18412382768095667,0.005547116702043916,0.0021710201783438853,-0.003376096523700031,0.005547116702043916,0.004733394599407926,-0.0008137221026359902
2024-03-01,bull_normal,18.94528007507324,65.8,61.03,49.45,0.2,0.2,0.2,0.2,0.2,0.20471490341822512,0.13961171986703622,0.2747678754332834,0.19912209522626512,0.1817834060551902,0.2,0.2,0.2,0.2,0.2,0.17473853476320345,0.1726575452000932,0.24065020368048742,0.26195371635621595,0.15,0.006030655842812342,0.0050615069916548384,-0.0009691488511575034,0.006030655842812342,0.005076419980590975,-0.0009542358622213667
2024-03-08,event_stress,33.76432037353516,63.7,64.8,37.75,0.1,0.05,0.5,0.2,0.15,0.05,0.0,0.45,0.35,0.15,0.1,0.05,0.5,0.2,0.15,0.19999999999999996,0.09999999999999995,0.3,0.19999999999999998,0.19999999999999996,0.012217777427824516,0.016500712757657566,0.00428293532983305,0.012217777427824516,0.01216682895818395,-5.094846964056633e-05
2024-03-15,bull_normal,13.955896377563477,63.41,63.2,38.35,0.2,0.2,0.2,0.2,0.2,0.20951939447254586,0.16174403803139964,0.2607178803885758,0.19505239009917533,0.1729662970083034,0.2,0.2,0.2,0.2,0.2,0.3313952215324042,0.3335898545473981,0.10593092508895988,0.0790839988312379,0.15000000000000002,-0.00011116488546949381,-0.0012807553234680399,-0.0011695904379985462,-0.00011116488546949381,0.0022075253500526662,0.00231869023552216
